Table: Green area per capita ,,,,,,,,,,,,,,,,
Variable,,Green area per capita (square meters per capita) ,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Metropolitan areas,,,,,,,,,,,,,,,,
Australia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Sydney,,224.95,224.94,224.98,224.95,224.97,224.96,224.98,224.97,224.98,224.98,224.95,224.96,224.97,224.98,224.94
  Melbourne,,152.19,152.19,152.18,152.21,152.2,152.18,152.2,152.17,152.19,152.2,152.2,152.18,152.2,152.19,152.17
  Brisbane,,1158.08,1158.09,1158.08,1158.08,1158.08,1158.08,1158.09,1158.09,1158.08,1158.08,1158.07,1158.07,1158.07,1158.07,1158.07
  Perth,,78.13,78.14,78.14,78.14,78.14,78.14,78.14,78.13,78.14,78.15,78.14,78.15,78.14,78.14,78.14
  Adelaide,,37.14,37.14,37.14,37.15,37.14,37.15,37.14,37.14,37.13,37.15,37.14,37.14,37.14,37.14,37.14
  Gold Coast-Tweed Heads,,108.62,108.62,108.62,108.62,108.62,108.62,108.62,108.62,108.62,108.62,108.62,108.62,108.62,108.62,108.62
Austria,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Vienna,,620.15,620.14,620.15,620.16,620.16,620.14,620.15,620.15,620.16,620.14,620.15,620.15,620.16,620.14,620.16
  Graz,,551.67,551.67,551.67,551.67,551.67,551.67,551.67,551.67,551.67,551.67,551.67,551.68,551.67,551.68,551.67
  Linz,,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67,1043.67
Belgium,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Brussels,,738.42,738.43,738.43,738.43,738.42,738.42,738.42,738.44,738.43,738.42,738.44,738.43,738.44,738.43,738.44
  Antwerp,,331.43,331.43,331.43,331.43,331.43,331.44,331.43,331.43,331.43,331.44,331.43,331.43,331.43,331.44,331.43
  Ghent,,429.1,429.1,429.1,429.1,429.1,429.1,429.1,429.1,429.1,429.11,429.1,429.1,429.1,429.1,429.1
  Liege,,357.4,357.4,357.41,357.41,357.4,357.41,357.41,357.4,357.41,357.41,357.4,357.4,357.41,357.41,357.4
Canada,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Vancouver,,244.5,244.5,244.49,244.49,244.5,244.51,244.5,244.49,244.49,244.49,244.5,244.5,244.5,244.49,244.49
  Montreal,,3130.36,3130.38,3130.35,3130.37,3130.37,3130.36,3130.38,3130.38,3130.36,3130.38,3130.37,3130.38,3130.37,3130.38,3130.35
  Toronto,,9016.12,9016.11,9016.1,9016.11,9016.12,9016.09,9016.08,9016.08,9016.12,9016.11,9016.11,9016.1,9016.08,9016.06,9016.11
  Edmonton,,6261.38,6261.38,6261.38,6261.38,6261.37,6261.37,6261.38,6261.38,6261.37,6261.38,6261.37,6261.38,6261.38,6261.37,6261.38
  Calgary,,1492.95,1492.95,1492.95,1492.95,1492.95,1492.95,1492.95,1492.95,1492.96,1492.96,1492.96,1492.95,1492.94,1492.96,1492.95
  Winnipeg,,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07,3741.07
  Quebec,,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82,1376.82
  Ottawa-Gatineau,,5696.83,5696.83,5696.82,5696.82,5696.83,5696.82,5696.83,5696.82,5696.83,5696.83,5696.82,5696.82,5696.83,5696.82,5696.83
  Hamilton,,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42,1722.42
Switzerland,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
